NP_001034487.2	XP_023022290.1
XP_008194349.1	XP_023025488.1
XP_008194357.1	XP_023019825.1
XP_008194358.1	XP_023019673.1
XP_008194361.1	XP_023019678.1
XP_008194363.1	XP_023019057.1
XP_008194364.1	XP_023017295.1
XP_008194368.1	XP_023012071.1
XP_008194370.1	XP_023025954.1
XP_008194372.1	XP_023017912.1
XP_008194373.1	XP_023025894.1
XP_008194378.1	XP_023018433.1
XP_008194395.1	XP_023018127.1
XP_008194405.1	XP_023020215.1
XP_008194406.1	XP_023020216.1
XP_008194410.1	XP_023017815.1
XP_008194416.1	XP_023021449.1
XP_008194424.1	XP_023030050.1
XP_008194427.1	XP_023026060.1
XP_008194430.1	XP_023028488.1
XP_008194431.1	XP_023025555.1
XP_008194433.1	XP_023023974.1
XP_008194435.1	XP_023024471.1
XP_008194436.1	XP_023021618.1
XP_008194442.1	XP_023011551.1
XP_008194443.1	XP_023012637.1
XP_008194445.1	XP_023023287.1
XP_008194447.1	XP_023027707.1
XP_008194449.1	XP_023012591.1
XP_008194457.1	XP_023026781.1
XP_008194458.1	XP_023018754.1
XP_008194461.1	XP_023014573.1
XP_008194464.1	XP_023014572.1
XP_008194466.1	XP_023026109.1
XP_008194469.1	XP_023026112.1
XP_008194470.1	XP_023019833.1
XP_008194472.1	XP_023023445.1
XP_008194475.1	XP_023029402.1
XP_008194481.1	XP_023026622.1
XP_008194483.1	XP_023021220.1
XP_008194484.1	XP_023019664.1
XP_008194488.1	XP_023021533.1
XP_008194489.1	XP_023030449.1
XP_008194498.1	XP_023015442.1
XP_008194500.1	XP_023023876.1
XP_008194501.1	XP_023012189.1
XP_008194507.1	XP_023021260.1
XP_008194509.1	XP_023021263.1
XP_008194514.1	XP_023022521.1
XP_008194516.1	XP_023017810.1
XP_008194525.1	XP_023016342.1
XP_008194526.1	XP_023014799.1
XP_008194528.1	XP_023025265.1
XP_008194539.1	XP_023026860.1
XP_008194551.1	XP_023021536.1
XP_008194565.1	XP_023022665.1
XP_008194566.1	XP_023022661.1
XP_008194570.1	XP_023029962.1
XP_008194575.1	XP_023030304.1
XP_008194577.1	XP_023024039.1
XP_008194578.1	XP_023024038.1
XP_008194582.2	XP_023029463.1
XP_008194587.1	XP_023014280.1
XP_008194593.1	XP_023015608.1
XP_008194611.1	XP_023026578.1
XP_008194615.1	XP_023015607.1
XP_008194617.1	XP_023021534.1
XP_008194621.1	XP_023028728.1
XP_008194625.1	XP_023030502.1
XP_008194626.1	XP_023030503.1
XP_008194629.1	XP_023013409.1
XP_008194631.1	XP_023013408.1
XP_008194632.1	XP_023027196.1
XP_008194638.1	XP_023019852.1
XP_008194639.1	XP_023023978.1
XP_008194640.1	XP_023025155.1
XP_008194644.1	XP_023017903.1
XP_008194646.1	XP_023014778.1
XP_008194648.1	XP_023014781.1
XP_008194653.1	XP_023014477.1
XP_008194655.1	XP_023016557.1
XP_008194659.1	XP_023011628.1
XP_008194660.1	XP_023012305.1
XP_008194661.1	XP_023026620.1
XP_008194669.1	XP_023013552.1
XP_008194670.1	XP_023013546.1
XP_008194671.1	XP_023018406.1
XP_008194672.1	XP_023016948.1
XP_008194679.1	XP_023015356.1
XP_008194680.2	XP_023030431.1
XP_008194690.1	XP_023015351.1
XP_008194693.1	XP_023027672.1
XP_008194696.2	XP_023018753.1
XP_008194699.1	XP_023017765.1
XP_008194700.1	XP_023025863.1
XP_008194701.1	XP_023014476.1
XP_008194702.1	XP_023025594.1
XP_008194712.1	XP_023018006.1
XP_008194714.1	XP_023014682.1
XP_008194715.1	XP_023014604.1
XP_008194717.1	XP_023015184.1
XP_008194719.1	XP_023015189.1
XP_008194720.1	XP_023015181.1
XP_008194721.1	XP_023021182.1
XP_008194735.1	XP_023021181.1
XP_008194739.1	XP_023017998.1
XP_008194744.1	XP_023029740.1
XP_008194745.1	XP_023017997.1
XP_008194749.1	XP_023027877.1
XP_008194752.1	XP_023014615.1
XP_008194753.1	XP_023019669.1
XP_008194754.1	XP_023017780.1
XP_008194761.1	XP_023021180.1
XP_008194769.1	XP_023013362.1
XP_008194779.2	XP_023018962.1
XP_008194787.1	XP_023025651.1
XP_008194793.1	XP_023022919.1
XP_008194797.1	XP_023012341.1
XP_008194805.1	XP_023012641.1
XP_008194810.1	XP_023019996.1
XP_008194817.1	XP_023029401.1
XP_008194824.1	XP_023018791.1
XP_008194829.2	XP_023025649.1
XP_008194836.1	XP_023014614.1
XP_008194838.1	XP_023023207.1
XP_008194840.1	XP_023023468.1
XP_008194847.1	XP_023015216.1
XP_008194849.1	XP_023030402.1
XP_008194850.1	XP_023019851.1
XP_008194855.1	XP_023016749.1
XP_008194859.1	XP_023015217.1
XP_008194861.2	XP_023023585.1
XP_008194862.1	XP_023023583.1
XP_008194864.1	XP_023014792.1
XP_008194865.1	XP_023012711.1
XP_008194870.1	XP_023013535.1
XP_008194872.1	XP_023024620.1
XP_008194874.1	XP_023014605.1
XP_008194877.1	XP_023024557.1
XP_008194880.1	XP_023014619.1
XP_008194882.1	XP_023014625.1
XP_008194883.1	XP_023018784.1
XP_008194887.1	XP_023016716.1
XP_008194891.1	XP_023019846.1
XP_008194892.1	XP_023016703.1
XP_008194915.1	XP_023021637.1
XP_008194927.2	XP_023011637.1
XP_008194929.1	XP_023024375.1
XP_008194930.1	XP_023012152.1
XP_008194931.1	XP_023012149.1
XP_008194936.1	XP_023020508.1
XP_008194937.1	XP_023020509.1
XP_008194938.1	XP_023020511.1
XP_008194946.1	XP_023019758.1
XP_008194948.2	XP_023016276.1
XP_008194954.1	XP_023018102.1
XP_008194955.2	XP_023016479.1
XP_008194971.1	XP_023016562.1
XP_008194973.1	XP_023026091.1
XP_008194975.1	XP_023023406.1
XP_008194977.1	XP_023012823.1
XP_008194982.2	XP_023029383.1
XP_008194983.1	XP_023012819.1
XP_008194984.1	XP_023016826.1
XP_008194986.1	XP_023028308.1
XP_008194989.1	XP_023012822.1
XP_008194992.1	XP_023018533.1
XP_008194993.1	XP_023018547.1
XP_008194994.1	XP_023018650.1
XP_008195001.1	XP_023018473.1
XP_008195003.1	XP_023020631.1
XP_008195004.1	XP_023018671.1
XP_008195005.1	XP_023018681.1
XP_008195006.1	XP_023018697.1
XP_008195007.1	XP_023018689.1
XP_008195013.1	XP_023021060.1
XP_008195014.1	XP_023020634.1
XP_008195015.1	XP_023027453.1
XP_008195016.1	XP_023021053.1
XP_008195017.1	XP_023017772.1
XP_008195018.2	XP_023017767.1
XP_008195022.1	XP_023030021.1
XP_008195023.1	XP_023020632.1
XP_008195028.1	XP_023018688.1
XP_008195033.1	XP_023012640.1
XP_008195042.1	XP_023019643.1
XP_008195043.1	XP_023012909.1
XP_008195048.1	XP_023015654.1
XP_008195053.1	XP_023013558.1
XP_008195057.1	XP_023022014.1
XP_008195063.2	XP_023025637.1
XP_008195069.1	XP_023016721.1
XP_008195074.1	XP_023025574.1
XP_008195090.1	XP_023012137.1
XP_008195091.1	XP_023020447.1
XP_008195093.1	XP_023022071.1
XP_008195096.1	XP_023020448.1
XP_008195099.1	XP_023016898.1
XP_008195102.1	XP_023017919.1
XP_008195103.1	XP_023016075.1
XP_008195104.1	XP_023014630.1
XP_008195106.1	XP_023018557.1
XP_008195112.1	XP_023011969.1
XP_008195115.1	XP_023018559.1
XP_008195117.1	XP_023018552.1
XP_008195119.1	XP_023018560.1
XP_008195120.1	XP_023020695.1
XP_008195123.1	XP_023020683.1
XP_008195128.1	XP_023025012.1
XP_008195131.1	XP_023024209.1
XP_008195135.1	XP_023024996.1
XP_008195140.1	XP_023026021.1
XP_008195144.1	XP_023020423.1
XP_008195146.1	XP_023016550.1
XP_008195151.1	XP_023012545.1
XP_008195152.1	XP_023027456.1
XP_008195155.1	XP_023017981.1
XP_008195157.1	XP_023012445.1
XP_008195159.1	XP_023012420.1
XP_008195160.1	XP_023025716.1
XP_008195168.1	XP_023030198.1
XP_008195172.2	XP_023030219.1
XP_008195173.1	XP_023030222.1
XP_008195174.1	XP_023030197.1
XP_008195175.1	XP_023019402.1
XP_008195178.1	XP_023019553.1
XP_008195182.1	XP_023015748.1
XP_008195193.1	XP_023017442.1
XP_008195194.1	XP_023017940.1
XP_008195198.1	XP_023014074.1
XP_008195200.1	XP_023024830.1
XP_008195213.1	XP_023025952.1
XP_008195214.1	XP_023025883.1
XP_008195215.1	XP_023025943.1
XP_008195216.1	XP_023025950.1
XP_008195219.1	XP_023025938.1
XP_008195222.1	XP_023025934.1
XP_008195223.1	XP_023025936.1
XP_008195224.1	XP_023016510.1
XP_008195227.1	XP_023017963.1
XP_008195231.1	XP_023017962.1
XP_008195234.1	XP_023022167.1
XP_008195239.1	XP_023026319.1
XP_008195243.1	XP_023018554.1
XP_008195255.1	XP_023021606.1
XP_008195258.1	XP_023017500.1
XP_008195262.1	XP_023017983.1
XP_008195266.1	XP_023013926.1
XP_008195276.1	XP_023015819.1
XP_008195282.1	XP_023013013.1
XP_008195284.1	XP_023022687.1
XP_008195285.1	XP_023018245.1
XP_008195288.2	XP_023016371.1
XP_008195291.2	XP_023021982.1
XP_008195294.1	XP_023015131.1
XP_008195295.1	XP_023016668.1
XP_008195299.1	XP_023026281.1
XP_008195300.1	XP_023014349.1
XP_008195302.1	XP_023024561.1
XP_008195303.1	XP_023017947.1
XP_008195304.1	XP_023030228.1
XP_008195305.1	XP_023019509.1
XP_008195308.1	XP_023019431.1
XP_008195312.1	XP_023030239.1
XP_008195313.1	XP_023017945.1
XP_008195316.1	XP_023015888.1
XP_008195317.2	XP_023018827.1
XP_008195318.1	XP_023019578.1
XP_008195322.1	XP_023021689.1
XP_008195327.1	XP_023011715.1
XP_008195331.1	XP_023028379.1
XP_008195332.1	XP_023020750.1
XP_008195334.1	XP_023021072.1
XP_008195338.1	XP_023017244.1
XP_008195340.1	XP_023017247.1
XP_008195341.1	XP_023017248.1
XP_008195342.1	XP_023028111.1
XP_008195344.1	XP_023016666.1
XP_008195348.1	XP_023022486.1
XP_008195353.1	XP_023018412.1
XP_008195357.1	XP_023019722.1
XP_008195359.1	XP_023017990.1
XP_008195365.1	XP_023024181.1
XP_008195370.1	XP_023012670.1
XP_008195371.1	XP_023015942.1
XP_008195376.1	XP_023029601.1
XP_008195381.1	XP_023026236.1
XP_008195382.1	XP_023024752.1
XP_008195383.1	XP_023015506.1
XP_008195388.1	XP_023022572.1
XP_008195389.1	XP_023015488.1
XP_008195390.1	XP_023015489.1
XP_008195391.1	XP_023025065.1
XP_008195392.1	XP_023015511.1
XP_008195394.1	XP_023024569.1
XP_008195396.1	XP_023014696.1
XP_008195403.1	XP_023029605.1
XP_008195404.1	XP_023019713.1
XP_008195408.1	XP_023020271.1
XP_008195411.1	XP_023030320.1
XP_008195413.1	XP_023020086.1
XP_008195419.1	XP_023019321.1
XP_008195422.1	XP_023022417.1
XP_008195426.1	XP_023025322.1
XP_008195429.1	XP_023020805.1
XP_008195430.1	XP_023025677.1
XP_008195431.1	XP_023022328.1
XP_008195435.1	XP_023028258.1
XP_008195441.2	XP_023013643.1
XP_008195444.1	XP_023019028.1
XP_008195445.1	XP_023026238.1
XP_008195450.1	XP_023013672.1
XP_008195453.1	XP_023021551.1
XP_008195456.1	XP_023026959.1
XP_008195458.1	XP_023022936.1
XP_008195460.1	XP_023018944.1
XP_008195462.1	XP_023020638.1
XP_008195464.1	XP_023027509.1
XP_008195481.1	XP_023022450.1
XP_008195485.1	XP_023023014.1
XP_008195490.2	XP_023026774.1
XP_008195500.1	XP_023022274.1
XP_008195502.1	XP_023020930.1
XP_008195504.1	XP_023021918.1
XP_008195506.1	XP_023015374.1
XP_008195509.1	XP_023020928.1
XP_008195510.1	XP_023019954.1
XP_008195511.1	XP_023022327.1
XP_008195512.1	XP_023015362.1
XP_008195517.1	XP_023014593.1
XP_008195518.1	XP_023029268.1
XP_008195520.1	XP_023019780.1
XP_008195521.2	XP_023029270.1
XP_008195522.1	XP_023029272.1
XP_008195523.1	XP_023021934.1
XP_008195529.1	XP_023014016.1
XP_008195531.1	XP_023019776.1
XP_008195533.1	XP_023019367.1
XP_008195534.1	XP_023030241.1
XP_008195539.1	XP_023028141.1
XP_008195541.1	XP_023018385.1
XP_008195544.1	XP_023027698.1
XP_008195548.1	XP_023021200.1
XP_008195550.1	XP_023018975.1
XP_008195561.1	XP_023025077.1
XP_008195562.1	XP_023023786.1
XP_008195563.1	XP_023014024.1
XP_008195569.1	XP_023023118.1
XP_008195574.1	XP_023024568.1
XP_008195578.1	XP_023024836.1
XP_008195579.1	XP_023016307.1
XP_008195580.1	XP_023018636.1
XP_008195582.1	XP_023020418.1
XP_008195583.1	XP_023028787.1
XP_008195584.1	XP_023028148.1
XP_008195587.1	XP_023027156.1
XP_008195589.2	XP_023023810.1
XP_008195592.1	XP_023023809.1
XP_008195593.1	XP_023023811.1
XP_008195596.1	XP_023026200.1
XP_008195600.1	XP_023019816.1
XP_008195605.1	XP_023018196.1
XP_008195611.1	XP_023019407.1
XP_008195613.1	XP_023019408.1
XP_008195616.1	XP_023019610.1
XP_008195619.1	XP_023013391.1
XP_008195623.1	XP_023014757.1
XP_008195625.1	XP_023025616.1
XP_008195627.1	XP_023027113.1
XP_008195631.1	XP_023016232.1
XP_008195633.1	XP_023014756.1
XP_008195635.1	XP_023029110.1
XP_008195636.1	XP_023028147.1
XP_008195644.1	XP_023023185.1
XP_008195646.1	XP_023011805.1
XP_008195648.1	XP_023017982.1
XP_008195650.1	XP_023013679.1
XP_008195652.1	XP_023026963.1
XP_008195654.1	XP_023016525.1
XP_008195655.1	XP_023018136.1
XP_008195656.1	XP_023015487.1
XP_008195658.1	XP_023015524.1
XP_008195661.1	XP_023014840.1
XP_008195664.1	XP_023015226.1
XP_008195672.2	XP_023014839.1
XP_008195673.1	XP_023024313.1
XP_008195674.1	XP_023025885.1
XP_008195683.1	XP_023024010.1
XP_008195686.1	XP_023011721.1
XP_008195688.1	XP_023030258.1
XP_008195690.1	XP_023012881.1
XP_008195704.1	XP_023022165.1
XP_008195710.1	XP_023027383.1
XP_008195713.1	XP_023012424.1
XP_008195723.1	XP_023020991.1
XP_008195725.1	XP_023030260.1
XP_008195726.1	XP_023020994.1
XP_008195727.1	XP_023030272.1
XP_008195732.1	XP_023030245.1
XP_008195733.1	XP_023030247.1
XP_008195734.1	XP_023030249.1
XP_008195735.1	XP_023030250.1
XP_008195745.1	XP_023017957.1
XP_008195746.1	XP_023017059.1
XP_008195748.1	XP_023025473.1
XP_008195752.1	XP_023025475.1
XP_008195754.1	XP_023012220.1
XP_008195756.1	XP_023029580.1
XP_008195757.1	XP_023019140.1
XP_008195758.1	XP_023026949.1
XP_008195762.1	XP_023011749.1
XP_008195774.1	XP_023015174.1
XP_008195779.1	XP_023013090.1
XP_008195782.1	XP_023028844.1
XP_008195783.1	XP_023022330.1
XP_008195785.1	XP_023013095.1
XP_008195786.1	XP_023013623.1
XP_008195789.1	XP_023027264.1
XP_008195790.1	XP_023019344.1
XP_008195796.1	XP_023016035.1
XP_008195797.1	XP_023022152.1
XP_008195799.1	XP_023020431.1
XP_008195803.1	XP_023026935.1
XP_008195804.1	XP_023029685.1
XP_008195807.1	XP_023017439.1
XP_008195808.1	XP_023017446.1
XP_008195810.1	XP_023023077.1
XP_008195816.1	XP_023030363.1
XP_008195817.1	XP_023023311.1
XP_008195823.1	XP_023030321.1
XP_008195826.1	XP_023022916.1
XP_008195832.1	XP_023022914.1
XP_008195838.1	XP_023012880.1
XP_008195842.1	XP_023017094.1
XP_008195843.1	XP_023022953.1
XP_008195845.1	XP_023021931.1
XP_008195856.1	XP_023020433.1
XP_008195860.1	XP_023015954.1
XP_008195862.2	XP_023015955.1
XP_008195869.1	XP_023023790.1
XP_008195870.1	XP_023015317.1
XP_008195871.1	XP_023016443.1
XP_008195874.1	XP_023022485.1
XP_008195875.1	XP_023017054.1
XP_008195877.1	XP_023014292.1
XP_008195878.1	XP_023012428.1
XP_008195879.1	XP_023012431.1
XP_008195881.1	XP_023014291.1
XP_008195882.1	XP_023014633.1
XP_008195887.1	XP_023012297.1
XP_008195891.1	XP_023024575.1
XP_008195896.1	XP_023018855.1
XP_008195897.1	XP_023022495.1
XP_008195900.1	XP_023016888.1
XP_008195901.1	XP_023019731.1
XP_008195902.1	XP_023019734.1
XP_008195907.1	XP_023027580.1
XP_008195908.1	XP_023027586.1
XP_008195910.1	XP_023030094.1
XP_008195912.1	XP_023014539.1
XP_008195913.1	XP_023014544.1
XP_008195914.1	XP_023030085.1
XP_008195924.1	XP_023017118.1
XP_008195926.2	XP_023017123.1
XP_008195927.1	XP_023018129.1
XP_008195928.1	XP_023027712.1
XP_008195931.1	XP_023030506.1
XP_008195932.1	XP_023029149.1
XP_008195936.1	XP_023014689.1
XP_008195938.1	XP_023014691.1
XP_008195940.1	XP_023024319.1
XP_008195941.1	XP_023029690.1
XP_008195943.1	XP_023021428.1
XP_008195949.1	XP_023018138.1
XP_008195952.1	XP_023018141.1
XP_008195954.2	XP_023016490.1
XP_008195966.1	XP_023012559.1
XP_008195968.1	XP_023018786.1
XP_008195976.1	XP_023015132.1
XP_008195977.1	XP_023024063.1
XP_008195980.1	XP_023018249.1
XP_008195982.2	XP_023024062.1
XP_008195985.1	XP_023015173.1
XP_008195988.1	XP_023019136.1
XP_008195989.1	XP_023030129.1
XP_008195990.1	XP_023012217.1
XP_008195992.1	XP_023016986.1
XP_008195993.1	XP_023022836.1
XP_008195994.2	XP_023022832.1
XP_008195995.1	XP_023015520.1
XP_008195999.1	XP_023017708.1
XP_008196000.1	XP_023017698.1
XP_008196003.1	XP_023030126.1
XP_008196004.1	XP_023030487.1
XP_008196009.1	XP_023012692.1
XP_008196010.1	XP_023026098.1
XP_008196011.1	XP_023014450.1
XP_008196012.2	XP_023023792.1
XP_008196017.1	XP_023015171.1
XP_008196019.1	XP_023029573.1
XP_008196031.1	XP_023030360.1
XP_008196032.1	XP_023022835.1
XP_008196033.1	XP_023020446.1
XP_008196036.1	XP_023013616.1
XP_008196048.2	XP_023018539.1
XP_008196049.2	XP_023020293.1
XP_008196050.2	XP_023011564.1
XP_008196051.1	XP_023013913.1
XP_008196074.1	XP_023018456.1
XP_008196077.1	XP_023029848.1
XP_008196078.1	XP_023018673.1
XP_008196084.1	XP_023028068.1
XP_008196085.1	XP_023028005.1
XP_008196088.2	XP_023024389.1
XP_008196092.1	XP_023029330.1
XP_008196093.1	XP_023025418.1
XP_008196096.1	XP_023028486.1
XP_008196097.1	XP_023025208.1
XP_008196113.1	XP_023012185.1
XP_008196114.1	XP_023012186.1
XP_008196115.1	XP_023029945.1
XP_008196116.1	XP_023025309.1
XP_008196118.1	XP_023018665.1
XP_008196119.1	XP_023030455.1
XP_008196122.1	XP_023021855.1
XP_008196124.1	XP_023021856.1
XP_008196125.1	XP_023021853.1
XP_008196127.1	XP_023021857.1
XP_008196130.1	XP_023012925.1
XP_008196132.1	XP_023012918.1
XP_008196134.1	XP_023021848.1
XP_008196143.1	XP_023026693.1
XP_008196146.1	XP_023013542.1
XP_008196147.1	XP_023016561.1
XP_008196148.1	XP_023022951.1
XP_008196149.1	XP_023012928.1
XP_008196153.1	XP_023015651.1
XP_008196154.1	XP_023017781.1
XP_008196156.1	XP_023030411.1
XP_008196157.1	XP_023030412.1
XP_008196161.1	XP_023022666.1
XP_008196162.1	XP_023030398.1
XP_008196185.1	XP_023018300.1
XP_008196187.1	XP_023029680.1
XP_008196188.1	XP_023024405.1
XP_008196190.1	XP_023021481.1
XP_008196192.1	XP_023021483.1
XP_008196204.1	XP_023018160.1
XP_008196205.1	XP_023029318.1
XP_008196207.1	XP_023029336.1
XP_008196209.2	XP_023029350.1
XP_008196216.1	XP_023028942.1
XP_008196217.1	XP_023030279.1
XP_008196218.1	XP_023030280.1
XP_008196222.1	XP_023018738.1
XP_008196227.1	XP_023025362.1
XP_008196250.1	XP_023016493.1
XP_008196255.1	XP_023016659.1
XP_008196261.1	XP_023016663.1
XP_008196264.2	XP_023022170.1
XP_008196267.1	XP_023019546.1
XP_008196269.1	XP_023019548.1
XP_008196270.1	XP_023019549.1
XP_008196283.1	XP_023023620.1
XP_008196289.1	XP_023023586.1
XP_008196291.1	XP_023021470.1
XP_008196292.1	XP_023027706.1
XP_008196293.1	XP_023017112.1
XP_008196297.1	XP_023017933.1
XP_008196302.1	XP_023016104.1
XP_008196305.1	XP_023011984.1
XP_008196307.1	XP_023014812.1
XP_008196308.1	XP_023014806.1
XP_008196309.1	XP_023014804.1
XP_008196311.1	XP_023012659.1
XP_008196316.1	XP_023013611.1
XP_008196323.1	XP_023021068.1
XP_008196324.1	XP_023030291.1
XP_008196325.1	XP_023025356.1
XP_008196332.2	XP_023013101.1
XP_008196334.1	XP_023020850.1
XP_008196340.1	XP_023022816.1
XP_008196343.1	XP_023017627.1
XP_008196345.1	XP_023013816.1
XP_008196348.1	XP_023019086.1
XP_008196350.1	XP_023019083.1
XP_008196351.1	XP_023024484.1
XP_008196354.1	XP_023020430.1
XP_008196358.1	XP_023020427.1
XP_008196361.1	XP_023021915.1
XP_008196362.1	XP_023021916.1
XP_008196365.1	XP_023016895.1
XP_008196370.1	XP_023012879.1
XP_008196372.1	XP_023012861.1
XP_008196381.1	XP_023019649.1
XP_008196384.1	XP_023024285.1
XP_008196387.1	XP_023026858.1
XP_008196389.1	XP_023025474.1
XP_008196390.1	XP_023023375.1
XP_008196392.1	XP_023020470.1
XP_008196393.1	XP_023023376.1
XP_008196394.1	XP_023023371.1
XP_008196397.1	XP_023019139.1
XP_008196400.1	XP_023019133.1
XP_008196406.1	XP_023021563.1
XP_008196413.1	XP_023021511.1
XP_008196414.1	XP_023030202.1
XP_008196416.1	XP_023024406.1
XP_008196417.1	XP_023016792.1
XP_008196419.1	XP_023016793.1
XP_008196420.1	XP_023016796.1
XP_008196423.1	XP_023016799.1
XP_008196426.1	XP_023016802.1
XP_008196430.1	XP_023019739.1
XP_008196431.1	XP_023019735.1
XP_008196432.1	XP_023012241.1
XP_008196453.1	XP_023011988.1
XP_008196457.1	XP_023012025.1
XP_008196460.1	XP_023015544.1
XP_008196466.2	XP_023015826.1
XP_008196469.1	XP_023013096.1
XP_008196472.1	XP_023022810.1
XP_008196473.1	XP_023028631.1
XP_008196474.1	XP_023018527.1
XP_008196482.1	XP_023020717.1
XP_008196483.1	XP_023020718.1
XP_008196484.1	XP_023020719.1
XP_008196486.1	XP_023020722.1
XP_008196491.1	XP_023020156.1
XP_008196499.1	XP_023027734.1
XP_008196500.1	XP_023014222.1
XP_008196502.1	XP_023017987.1
XP_008196504.1	XP_023026067.1
XP_008196506.1	XP_023023696.1
XP_008196508.1	XP_023023688.1
XP_008196509.1	XP_023023700.1
XP_008196513.1	XP_023023699.1
XP_008196531.1	XP_023017147.1
XP_008196533.1	XP_023014498.1
XP_008196536.1	XP_023027663.1
XP_008196539.1	XP_023022045.1
XP_008196542.1	XP_023022580.1
XP_008196543.1	XP_023015515.1
XP_008196544.1	XP_023026493.1
XP_008196560.1	XP_023014845.1
XP_008196561.1	XP_023023017.1
XP_008196562.1	XP_023021865.1
XP_008196564.1	XP_023027163.1
XP_008196566.1	XP_023013369.1
XP_008196572.2	XP_023016080.1
XP_008196576.2	XP_023017150.1
XP_008196595.1	XP_023015541.1
XP_008196603.1	XP_023017350.1
XP_008196604.1	XP_023017351.1
XP_008196606.1	XP_023017352.1
XP_008196608.1	XP_023025407.1
XP_008196611.1	XP_023028046.1
XP_008196614.1	XP_023028589.1
XP_008196620.1	XP_023029798.1
XP_008196624.1	XP_023017344.1
XP_008196629.1	XP_023020137.1
XP_008196630.1	XP_023017356.1
XP_008196633.1	XP_023023116.1
XP_008196635.1	XP_023026183.1
XP_008196637.1	XP_023018091.1
XP_008196642.1	XP_023014284.1
XP_008196657.1	XP_023020370.1
XP_008196658.1	XP_023018693.1
XP_008196660.1	XP_023027396.1
XP_008196668.1	XP_023013429.1
XP_008196672.1	XP_023018325.1
XP_008196683.1	XP_023019095.1
XP_008196686.1	XP_023020245.1
XP_008196687.1	XP_023016942.1
XP_008196688.2	XP_023023504.1
XP_008196689.2	XP_023026171.1
XP_008196693.1	XP_023024129.1
XP_008196695.1	XP_023017943.1
XP_008196696.1	XP_023015700.1
XP_008196698.1	XP_023014590.1
XP_008196700.1	XP_023025765.1
XP_008196703.1	XP_023014507.1
XP_008196706.1	XP_023016815.1
XP_008196709.1	XP_023012977.1
XP_008196718.1	XP_023016939.1
XP_008196723.1	XP_023015094.1
XP_008196740.1	XP_023016812.1
XP_008196747.1	XP_023027618.1
XP_008196749.1	XP_023017841.1
XP_008196751.1	XP_023016103.1
XP_008196752.1	XP_023022457.1
XP_008196753.1	XP_023017883.1
XP_008196754.1	XP_023017166.1
XP_008196755.1	XP_023018600.1
XP_008196757.1	XP_023019859.1
XP_008196758.1	XP_023029296.1
XP_008196759.1	XP_023029344.1
XP_008196760.1	XP_023029342.1
XP_008196761.1	XP_023022782.1
XP_008196763.1	XP_023018209.1
XP_008196766.1	XP_023018206.1
XP_008196769.1	XP_023012115.1
XP_008196770.1	XP_023012108.1
XP_008196773.1	XP_023024944.1
XP_008196774.1	XP_023013741.1
XP_008196776.2	XP_023026237.1
XP_008196778.1	XP_023019461.1
XP_008196780.1	XP_023026932.1
XP_008196781.1	XP_023026931.1
XP_008196783.1	XP_023021843.1
XP_008196786.1	XP_023027777.1
XP_008196787.1	XP_023025977.1
XP_008196790.1	XP_023026789.1
XP_008196792.1	XP_023026788.1
XP_008196799.1	XP_023023013.1
XP_008196804.1	XP_023020183.1
XP_008196812.1	XP_023015961.1
XP_008196815.1	XP_023014324.1
XP_008196816.2	XP_023029277.1
XP_008196818.1	XP_023023018.1
XP_008196833.1	XP_023027840.1
XP_008196836.1	XP_023023506.1
XP_008196837.1	XP_023018184.1
XP_008196838.1	XP_023023614.1
XP_008196841.1	XP_023024394.1
XP_008196843.1	XP_023022758.1
XP_008196844.1	XP_023023005.1
XP_008196845.1	XP_023016687.1
XP_008196847.1	XP_023015010.1
XP_008196848.1	XP_023019229.1
XP_008196850.1	XP_023015570.1
XP_008196851.1	XP_023015573.1
XP_008196856.1	XP_023014827.1
XP_008196859.1	XP_023017008.1
XP_008196860.1	XP_023017006.1
XP_008196861.1	XP_023023039.1
XP_008196865.1	XP_023030352.1
XP_008196875.1	XP_023020105.1
XP_008196895.1	XP_023020337.1
XP_008196907.1	XP_023016934.1
XP_008196910.1	XP_023025769.1
XP_008196911.1	XP_023025244.1
XP_008196912.1	XP_023023255.1
XP_008196919.1	XP_023024736.1
XP_008196922.1	XP_023022039.1
XP_008196925.1	XP_023017557.1
XP_008196926.1	XP_023020218.1
XP_008196927.2	XP_023024202.1
XP_008196932.1	XP_023025079.1
XP_008196933.1	XP_023025084.1
XP_008196939.1	XP_023022811.1
XP_008196940.1	XP_023022294.1
XP_008196946.1	XP_023027343.1
XP_008196948.1	XP_023019512.1
XP_008196952.1	XP_023019529.1
XP_008196955.1	XP_023016672.1
XP_008196956.1	XP_023022048.1
XP_008196966.1	XP_023024779.1
XP_008196967.1	XP_023020304.1
XP_008196971.1	XP_023020716.1
XP_008196975.1	XP_023021838.1
XP_008196976.1	XP_023023655.1
XP_008196982.1	XP_023013131.1
XP_008196985.1	XP_023024745.1
XP_008196988.1	XP_023014330.1
XP_008196992.2	XP_023011676.1
XP_008196998.1	XP_023020132.1
XP_008196999.1	XP_023020127.1
XP_008197006.1	XP_023021941.1
XP_008197026.2	XP_023023502.1
XP_008197030.1	XP_023019874.1
XP_008197034.1	XP_023015966.1
XP_008197036.1	XP_023013564.1
XP_008197037.1	XP_023023832.1
XP_008197039.1	XP_023013663.1
XP_008197045.1	XP_023013665.1
XP_008197046.1	XP_023025673.1
